Bundesliga,2223,Eint Frankfurt,Aurélio Buta,POR,DF
Bundesliga,2223,Eint Frankfurt,Christopher Lenz,GER,DF
Bundesliga,2223,Eint Frankfurt,Daichi Kamada,JPN,MF
Bundesliga,2223,Eint Frankfurt,Dario Gebuhr,GER,DF
Bundesliga,2223,Eint Frankfurt,Diant Ramaj,GER,GK
Bundesliga,2223,Eint Frankfurt,Djibril Sow,SUI,MF
Bundesliga,2223,Eint Frankfurt,Faride Alidou,GER,"DF,MF"
Bundesliga,2223,Eint Frankfurt,Filip Kostić,SRB,"DF,MF"
Bundesliga,2223,Eint Frankfurt,Hrvoje Smolčić,CRO,DF
Bundesliga,2223,Eint Frankfurt,Jesper Lindstrøm,DEN,"MF,FW"
Bundesliga,2223,Eint Frankfurt,Junior Dina Ebimbe,FRA,"DF,MF"
Bundesliga,2223,Eint Frankfurt,Kevin Trapp,GER,GK
Bundesliga,2223,Eint Frankfurt,Kristijan Jakić,CRO,"DF,MF"
Bundesliga,2223,Eint Frankfurt,Luca Pellegrini,ITA,DF
Bundesliga,2223,Eint Frankfurt,Lucas Alario,ARG,"FW,MF"
Bundesliga,2223,Eint Frankfurt,Makoto Hasebe,JPN,DF
Bundesliga,2223,Eint Frankfurt,Marcel Wenig,GER,MF
Bundesliga,2223,Eint Frankfurt,Mario Götze,GER,MF
Bundesliga,2223,Eint Frankfurt,Obite N'Dicka,CIV,DF
Bundesliga,2223,Eint Frankfurt,Paxten Aaronson,USA,"MF,DF"
Bundesliga,2223,Eint Frankfurt,Philipp Max,GER,DF
Bundesliga,2223,Eint Frankfurt,Rafael Borré,COL,"MF,FW"
Bundesliga,2223,Eint Frankfurt,Randal Kolo Muani,FRA,FW
Bundesliga,2223,Eint Frankfurt,Sebastian Rode,GER,MF
Bundesliga,2223,Eint Frankfurt,Timothy Chandler,USA,DF
Bundesliga,2223,Eint Frankfurt,Tuta,BRA,DF
Bundesliga,2223,Freiburg,Christian Günter,GER,"DF,MF"
Bundesliga,2223,Freiburg,Daniel Kyereh,GHA,"MF,FW"
Bundesliga,2223,Freiburg,Hugo Siquet,BEL,DF
Bundesliga,2223,Freiburg,Jeong Woo-yeong,KOR,"MF,FW"
Bundesliga,2223,Freiburg,Jonathan Schmid,FRA,DF
Bundesliga,2223,Freiburg,Kenneth Schmidt,GER,DF
Bundesliga,2223,Freiburg,Keven Schlotterbeck,GER,DF
Bundesliga,2223,Freiburg,Kevin Schade,GER,"FW,MF"
Bundesliga,2223,Freiburg,Kiliann Sildillia,FRA,"DF,MF"
Bundesliga,2223,Freiburg,Kimberly Ezekwem,GER,DF
Bundesliga,2223,Freiburg,Lucas Höler,GER,"FW,MF"
Bundesliga,2223,Freiburg,Lukas Kübler,GER,DF
Bundesliga,2223,Freiburg,Manuel Gulde,GER,DF
Bundesliga,2223,Freiburg,Mark Flekken,NED,GK
Bundesliga,2223,Freiburg,Matthias Ginter,GER,DF
Bundesliga,2223,Freiburg,Maximilian Eggestein,GER,MF
Bundesliga,2223,Freiburg,Merlin Röhl,GER,"MF,FW"
Bundesliga,2223,Freiburg,Michael Gregoritsch,AUT,FW
Bundesliga,2223,Freiburg,Nicolas Höfler,GER,MF
Bundesliga,2223,Freiburg,Nils Petersen,GER,FW
Bundesliga,2223,Freiburg,Noah Weißhaupt,GER,"MF,DF"
Bundesliga,2223,Freiburg,Philipp Lienhart,AUT,DF
Bundesliga,2223,Freiburg,Ritsu Doan,JPN,"MF,FW"
Bundesliga,2223,Freiburg,Robert Wagner,GER,MF
Bundesliga,2223,Freiburg,Roland Sallai,HUN,"MF,FW"
Bundesliga,2223,Freiburg,Vincenzo Grifo,ITA,"MF,FW"
Bundesliga,2223,Freiburg,Yannik Keitel,GER,MF
