207,Sassuolo,Inter,2022-10-08 Sassuolo-Inter,2022-10-08,0
208,Inter,Salernitana,2022-10-16 Inter-Salernitana,2022-10-16,0
209,Inter,Sampdoria,2022-10-29 Inter-Sampdoria,2022-10-29,0
210,Juventus,Inter,2022-11-06 Juventus-Inter,2022-11-06,0
211,Inter,Napoli,2023-01-04 Inter-Napoli,2023-01-04,0
212,Monza,Inter,2023-01-07 Monza-Inter,2023-01-07,0
213,Inter,Milan,2023-02-05 Inter-Milan,2023-02-05,0
214,Sampdoria,Inter,2023-02-13 Sampdoria-Inter,2023-02-13,0
215,Inter,Udinese,2023-02-18 Inter-Udinese,2023-02-18,0
216,Inter,Lecce,2023-03-05 Inter-Lecce,2023-03-05,0
217,Spezia,Inter,2023-03-10 Spezia-Inter,2023-03-10,0
218,Inter,Juventus,2023-03-19 Inter-Juventus,2023-03-19,0
219,Salernitana,Inter,2023-04-07 Salernitana-Inter,2023-04-07,0
220,Inter,Monza,2023-04-15 Inter-Monza,2023-04-15,0
221,Inter,Lazio,2023-04-30 Inter-Lazio,2023-04-30,0
222,Roma,Inter,2023-05-06 Roma-Inter,2023-05-06,0
223,Inter,Sassuolo,2023-05-13 Inter-Sassuolo,2023-05-13,0
224,Napoli,Inter,2023-05-21 Napoli-Inter,2023-05-21,0
225,Torino,Inter,2023-06-03 Torino-Inter,2023-06-03,0
226,Juventus,Sassuolo,2022-08-15 Juventus-Sassuolo,2022-08-15,0
227,Sampdoria,Juventus,2022-08-22 Sampdoria-Juventus,2022-08-22,0
228,Juventus,Roma,2022-08-27 Juventus-Roma,2022-08-27,0
229,Juventus,Spezia,2022-08-31 Juventus-Spezia,2022-08-31,0
230,Juventus,Salernitana,2022-09-11 Juventus-Salernitana,2022-09-11,0
231,Monza,Juventus,2022-09-18 Monza-Juventus,2022-09-18,0
232,Milan,Juventus,2022-10-08 Milan-Juventus,2022-10-08,0
233,Torino,Juventus,2022-10-15 Torino-Juventus,2022-10-15,0
234,Lecce,Juventus,2022-10-29 Lecce-Juventus,2022-10-29,0
235,Juventus,Lazio,2022-11-13 Juventus-Lazio,2022-11-13,0
236,Juventus,Udinese,2023-01-07 Juventus-Udinese,2023-01-07,0
237,Napoli,Juventus,2023-01-13 Napoli-Juventus,2023-01-13,0
238,Juventus,Monza,2023-01-29 Juventus-Monza,2023-01-29,0
239,Salernitana,Juventus,2023-02-07 Salernitana-Juventus,2023-02-07,0
240,Spezia,Juventus,2023-02-19 Spezia-Juventus,2023-02-19,0
241,Juventus,Torino,2023-02-28 Juventus-Torino,2023-02-28,0
242,Roma,Juventus,2023-03-05 Roma-Juventus,2023-03-05,0
243,Juventus,Sampdoria,2023-03-12 Juventus-Sampdoria,2023-03-12,0
244,Lazio,Juventus,2023-04-08 Lazio-Juventus,2023-04-08,0
245,Sassuolo,Juventus,2023-04-16 Sassuolo-Juventus,2023-04-16,0
246,Juventus,Napoli,2023-04-23 Juventus-Napoli,2023-04-23,0
247,Juventus,Lecce,2023-05-03 Juventus-Lecce,2023-05-03,0
248,Juventus,Milan,2023-05-28 Juventus-Milan,2023-05-28,0
249,Udinese,Juventus,2023-06-04 Udinese-Juventus,2023-06-04,0
250,Torino,Lazio,2022-08-20 Torino-Lazio,2022-08-20,0
251,Sampdoria,Lazio,2022-08-31 Sampdoria-Lazio,2022-08-31,0
252,Lazio,Napoli,2022-09-03 Lazio-Napoli,2022-09-03,0
253,Lazio,Spezia,2022-10-02 Lazio-Spezia,2022-10-02,0
254,Lazio,Udinese,2022-10-16 Lazio-Udinese,2022-10-16,0
255,Lazio,Salernitana,2022-10-30 Lazio-Salernitana,2022-10-30,0
256,Roma,Lazio,2022-11-06 Roma-Lazio,2022-11-06,0
257,Lazio,Monza,2022-11-10 Lazio-Monza,2022-11-10,0
258,Lecce,Lazio,2023-01-04 Lecce-Lazio,2023-01-04,0
259,Sassuolo,Lazio,2023-01-15 Sassuolo-Lazio,2023-01-15,0
260,Lazio,Milan,2023-01-24 Lazio-Milan,2023-01-24,0
261,Salernitana,Lazio,2023-02-19 Salernitana-Lazio,2023-02-19,0
262,Lazio,Sampdoria,2023-02-27 Lazio-Sampdoria,2023-02-27,0
263,Napoli,Lazio,2023-03-03 Napoli-Lazio,2023-03-03,0
264,Lazio,Roma,2023-03-19 Lazio-Roma,2023-03-19,0
265,Monza,Lazio,2023-04-02 Monza-Lazio,2023-04-02,0
266,Spezia,Lazio,2023-04-14 Spezia-Lazio,2023-04-14,0
267,Lazio,Torino,2023-04-22 Lazio-Torino,2023-04-22,0
268,Lazio,Sassuolo,2023-05-03 Lazio-Sassuolo,2023-05-03,0
269,Milan,Lazio,2023-05-06 Milan-Lazio,2023-05-06,0
270,Lazio,Lecce,2023-05-12 Lazio-Lecce,2023-05-12,0
271,Udinese,Lazio,2023-05-21 Udinese-Lazio,2023-05-21,0
272,Sassuolo,Lecce,2022-08-20 Sassuolo-Lecce,2022-08-20,0
273,Napoli,Lecce,2022-08-31 Napoli-Lecce,2022-08-31,0
274,Torino,Lecce,2022-09-05 Torino-Lecce,2022-09-05,0
275,Lecce,Monza,2022-09-11 Lecce-Monza,2022-09-11,0
276,Salernitana,Lecce,2022-09-16 Salernitana-Lecce,2022-09-16,0
277,Roma,Lecce,2022-10-09 Roma-Lecce,2022-10-09,0
278,Udinese,Lecce,2022-11-04 Udinese-Lecce,2022-11-04,0
279,Sampdoria,Lecce,2022-11-12 Sampdoria-Lecce,2022-11-12,0
280,Spezia,Lecce,2023-01-08 Spezia-Lecce,2023-01-08,0
281,Lecce,Milan,2023-01-14 Lecce-Milan,2023-01-14,0
282,Lecce,Salernitana,2023-01-27 Lecce-Salernitana,2023-01-27,0
283,Lecce,Roma,2023-02-11 Lecce-Roma,2023-02-11,0
284,Lecce,Sassuolo,2023-02-25 Lecce-Sassuolo,2023-02-25,0
285,Lecce,Torino,2023-03-12 Lecce-Torino,2023-03-12,0
286,Lecce,Napoli,2023-04-07 Lecce-Napoli,2023-04-07,0
287,Lecce,Sampdoria,2023-04-16 Lecce-Sampdoria,2023-04-16,0
288,Milan,Lecce,2023-04-23 Milan-Lecce,2023-04-23,0
289,Lecce,Udinese,2023-04-28 Lecce-Udinese,2023-04-28,0
290,Lecce,Spezia,2023-05-21 Lecce-Spezia,2023-05-21,0
291,Monza,Lecce,2023-05-28 Monza-Lecce,2023-05-28,0
292,Milan,Udinese,2022-08-13 Milan-Udinese,2022-08-13,0
293,Sassuolo,Milan,2022-08-30 Sassuolo-Milan,2022-08-30,0
294,Sampdoria,Milan,2022-09-10 Sampdoria-Milan,2022-09-10,0
295,Milan,Napoli,2022-09-18 Milan-Napoli,2022-09-18,0
296,Milan,Monza,2022-10-22 Milan-Monza,2022-10-22,0
297,Torino,Milan,2022-10-30 Torino-Milan,2022-10-30,0
298,Milan,Spezia,2022-11-05 Milan-Spezia,2022-11-05,0
299,Salernitana,Milan,2023-01-04 Salernitana-Milan,2023-01-04,0
300,Milan,Roma,2023-01-08 Milan-Roma,2023-01-08,0
301,Milan,Sassuolo,2023-01-29 Milan-Sassuolo,2023-01-29,0
302,Milan,Torino,2023-02-10 Milan-Torino,2023-02-10,0
303,Monza,Milan,2023-02-18 Monza-Milan,2023-02-18,0
304,Milan,Salernitana,2023-03-13 Milan-Salernitana,2023-03-13,0
305,Udinese,Milan,2023-03-18 Udinese-Milan,2023-03-18,0
306,Napoli,Milan,2023-04-02 Napoli-Milan,2023-04-02,0
307,Roma,Milan,2023-04-29 Roma-Milan,2023-04-29,0
308,Spezia,Milan,2023-05-13 Spezia-Milan,2023-05-13,0
309,Milan,Sampdoria,2023-05-20 Milan-Sampdoria,2023-05-20,0
310,Monza,Torino,2022-08-13 Monza-Torino,2022-08-13,0
311,Napoli,Monza,2022-08-21 Napoli-Monza,2022-08-21,0
312,Monza,Udinese,2022-08-26 Monza-Udinese,2022-08-26,0
313,Roma,Monza,2022-08-30 Roma-Monza,2022-08-30,0
314,Sampdoria,Monza,2022-10-02 Sampdoria-Monza,2022-10-02,0
315,Monza,Spezia,2022-10-09 Monza-Spezia,2022-10-09,0
316,Monza,Salernitana,2022-11-13 Monza-Salernitana,2022-11-13,0
317,Monza,Sassuolo,2023-01-22 Monza-Sassuolo,2023-01-22,0
318,Monza,Sampdoria,2023-02-06 Monza-Sampdoria,2023-02-06,0
319,Salernitana,Monza,2023-02-26 Salernitana-Monza,2023-02-26,0
320,Udinese,Monza,2023-04-08 Udinese-Monza,2023-04-08,0
321,Spezia,Monza,2023-04-28 Spezia-Monza,2023-04-28,0
322,Monza,Roma,2023-05-03 Monza-Roma,2023-05-03,0
323,Torino,Monza,2023-05-07 Torino-Monza,2023-05-07,0
324,Monza,Napoli,2023-05-14 Monza-Napoli,2023-05-14,0
325,Sassuolo,Monza,2023-05-19 Sassuolo-Monza,2023-05-19,0
326,Napoli,Spezia,2022-09-10 Napoli-Spezia,2022-09-10,0
327,Napoli,Torino,2022-10-01 Napoli-Torino,2022-10-01,0
328,Roma,Napoli,2022-10-23 Roma-Napoli,2022-10-23,0
329,Napoli,Sassuolo,2022-10-29 Napoli-Sassuolo,2022-10-29,0
330,Napoli,Udinese,2022-11-12 Napoli-Udinese,2022-11-12,0
331,Sampdoria,Napoli,2023-01-08 Sampdoria-Napoli,2023-01-08,0
332,Salernitana,Napoli,2023-01-21 Salernitana-Napoli,2023-01-21,0
333,Napoli,Roma,2023-01-29 Napoli-Roma,2023-01-29,0
334,Spezia,Napoli,2023-02-05 Spezia-Napoli,2023-02-05,0
335,Sassuolo,Napoli,2023-02-17 Sassuolo-Napoli,2023-02-17,0
336,Torino,Napoli,2023-03-19 Torino-Napoli,2023-03-19,0
337,Napoli,Salernitana,2023-04-30 Napoli-Salernitana,2023-04-30,0
338,Udinese,Napoli,2023-05-04 Udinese-Napoli,2023-05-04,0
339,Napoli,Sampdoria,2023-06-04 Napoli-Sampdoria,2023-06-04,0
340,Salernitana,Roma,2022-08-14 Salernitana-Roma,2022-08-14,0
341,Udinese,Roma,2022-09-04 Udinese-Roma,2022-09-04,0
342,Sampdoria,Roma,2022-10-17 Sampdoria-Roma,2022-10-17,0
343,Sassuolo,Roma,2022-11-09 Sassuolo-Roma,2022-11-09,0
344,Roma,Torino,2022-11-13 Roma-Torino,2022-11-13,0
345,Spezia,Roma,2023-01-22 Spezia-Roma,2023-01-22,0
346,Roma,Sassuolo,2023-03-12 Roma-Sassuolo,2023-03-12,0
347,Roma,Sampdoria,2023-04-02 Roma-Sampdoria,2023-04-02,0
348,Torino,Roma,2023-04-08 Torino-Roma,2023-04-08,0
349,Roma,Udinese,2023-04-16 Roma-Udinese,2023-04-16,0
350,Roma,Salernitana,2023-05-22 Roma-Salernitana,2023-05-22,0
351,Roma,Spezia,2023-06-04 Roma-Spezia,2023-06-04,0
352,Udinese,Salernitana,2022-08-20 Udinese-Salernitana,2022-08-20,0
353,Salernitana,Sampdoria,2022-08-28 Salernitana-Sampdoria,2022-08-28,0
354,Sassuolo,Salernitana,2022-10-02 Sassuolo-Salernitana,2022-10-02,0
355,Salernitana,Spezia,2022-10-22 Salernitana-Spezia,2022-10-22,0
