190,51,2275,116,0.09,0.1,1,13,1,45
387,18,2337,78,0.23,0.08,0,16,1,46
830,78,2054,52,0.1,,0,18,1,47
803,2,2559,52,0.07,0.3,0,17,1,48
2662,33,1588,11,0.25,,0,13,1,49
667,57,2221,80,0.81,0.96,1,3,0,50
897,77,2652,59,0.05,0.14,0,20,1,51
1109,51,444,69,0.03,0.02,0,25,1,52
2210,18,142,123,0.09,,0,5,1,53
352,32,831,130,0.25,0.38,0,11,1,54
288,21,2154,120,0.02,0.03,0,33,0,55
1371,75,1586,104,0.07,,0,20,1,56
1384,26,344,104,0.04,,0,25,1,57
820,50,2517,53,0.04,0.23,0,13,1,58
2032,67,1280,31,0.08,,0,15,1,59
654,81,306,84,0.08,,0,28,0,60
89,38,744,118,0.02,,0,35,0,61
2211,5,648,13,0.06,,0,16,0,62
1281,54,2721,94,0.09,,0,8,2,63
746,44,1800,86,0.06,0.41,1,23,1,64
1501,89,1140,105,0.07,,0,18,1,65
80,85,645,113,0.06,,0,24,0,66
240,58,71,128,0.02,,0,35,1,67
1466,21,683,103,0.31,,0,7,2,68
882,34,1845,59,0.04,,0,18,1,69
1234,38,2283,95,0.06,,0,26,0,70
3108,36,739,45,0.04,,0,15,1,71
711,23,167,83,0.04,,0,25,1,72
25,38,2338,111,0.02,0.03,0,28,0,73
569,82,1635,76,0.08,,0,15,0,74
156,45+1,2692,119,0.13,,0,14,0,75
864,43,2572,53,0.03,,0,16,1,76
2409,21,1796,8,0.03,0.03,0,12,1,77
2653,55,7,12,0.06,0.56,1,29,0,78
1168,87,909,99,0.05,,0,16,0,79
1289,62,905,108,0.15,,0,14,1,80
875,22,801,54,0.03,0.09,0,28,1,81
1977,47,1788,10,0.06,,0,18,0,82
1112,6,1498,65,0.62,0.81,1,3,1,83
45,1,1625,114,0.05,,0,14,0,84
409,81,1791,71,0.03,,0,32,1,85
161,13,814,115,0.06,0.06,0,16,1,86
969,41,389,57,0.02,0.12,0,20,1,87
805,14,1005,52,0.12,0.85,1,9,1,88
1325,21,613,97,0.03,,0,22,1,89
123,64,10,126,0.02,0.04,0,35,1,90
92,90+1,551,117,0.11,0.06,0,10,1,91
1502,29,338,106,0.04,0.07,0,18,1,92
806,78,2535,67,0.07,,0,12,0,93
756,10,838,88,0.15,,0,8,2,94
1723,69,828,8,0.06,,0,12,2,95
374,46,2704,127,0.05,0.12,0,22,1,96
812,23,471,52,0.1,,0,12,1,97
1392,64,2152,108,0.04,,0,25,0,98
1442,14,2110,108,0.71,0.92,1,3,1,99
